pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,collision
8,9,14,2,335.0241013903712,64,3,8,0
17,17,19,24,91.921458146585,80,48,56,1
11,11,0,4,213.14688455243845,67,16,5,0
1,1,7,3,306.8724188071909,30,47,41,0
5,5,13,23,300.78810568025773,77,21,29,0
3,3,3,2,80.60159654757956,55,62,27,1
3,3,21,3,120.29145511602722,80,82,14,1
13,13,5,8,118.79122759983068,32,89,8,1
3,3,5,29,249.5497128784484,15,32,54,0
19,19,3,12,167.4475069930853,65,41,63,0
14,15,11,7,138.71187847375973,94,32,6,1
8,9,4,16,193.27157433721143,27,3,30,0
7,7,10,25,289.26052347079565,71,67,63,0
13,13,13,7,342.87716066135454,37,7,38,0
9,9,0,23,345.0327948480286,25,86,3,0
4,5,2,25,226.57424255325392,13,95,33,0
5,5,1,7,241.85345295408143,22,88,54,0
18,19,15,4,312.0266945518301,84,34,24,0
7,7,4,4,347.822816516149,12,22,33,0
3,3,7,29,299.402030393535,54,14,34,0
3,3,10,16,335.32150942872187,35,92,58,0
1,1,16,13,95.65907984200756,91,44,24,1
3,3,2,24,306.0021811757088,65,51,14,0
16,17,14,1,101.11834080559966,72,91,18,1
18,19,21,20,188.8912126307571,66,79,61,0
0,0,0,12,344.2465179690159,32,39,25,0
9,9,12,27,77.20252725449708,77,42,13,1
2,3,19,23,125.34807244630774,76,62,45,1
11,11,4,20,112.2829559030718,61,10,10,1
9,9,7,9,182.34327727977936,41,49,54,0
11,11,0,10,174.16341006754175,91,49,8,0
1,1,2,17,60.615844184867704,26,1,46,1
19,19,11,2,276.3900824972693,45,56,19,0
17,17,21,27,332.1437335755977,13,2,26,0
9,9,22,27,335.9534369867676,94,4,2,0
19,19,11,0,241.09522741099255,27,56,54,0
0,0,11,15,304.3728395109622,69,52,24,0
19,19,18,26,292.2343907246913,67,17,55,0
14,15,3,0,151.3343511196356,32,18,61,0
5,5,8,26,317.10715972081795,91,45,27,0
16,17,23,26,279.73777565131434,36,34,63,0
14,15,18,1,80.23062347294221,17,24,38,1
14,15,2,27,67.98406890380927,74,0,48,1
9,9,8,18,235.82049052619527,28,98,26,0
1,1,15,18,96.09017722545477,58,77,51,1
11,11,5,10,152.54517121362048,95,55,61,0
8,9,15,4,233.02496392496624,84,21,36,0
11,11,8,14,206.36683727563948,91,28,55,0
19,19,11,16,60.80591828519576,56,86,37,1
18,19,1,19,153.60886990948782,25,39,24,0
15,15,7,23,158.280002764582,53,94,44,0
9,9,10,27,107.41728046352586,16,91,27,1
5,5,14,23,339.01738372378327,15,57,5,0
19,19,13,11,107.80231024358086,47,86,54,1
18,19,2,11,143.48758105688557,94,38,57,1
11,11,11,13,182.31006839859504,82,41,53,0
12,13,10,8,124.09541270386688,18,4,30,1
0,0,8,13,319.13939419255024,33,6,2,0
11,11,14,12,199.3157316380297,26,37,64,0
3,3,13,13,211.9279984998015,62,10,8,0
19,19,7,27,209.94617510327873,16,22,41,0
2,3,14,22,73.74828416853994,76,70,10,1
7,7,2,20,85.22703569318001,86,16,62,1
3,3,4,3,296.6763331072055,14,1,14,0
2,3,20,27,349.517764205403,44,22,52,0
18,19,7,19,148.95581474464657,17,30,3,1
0,0,4,16,97.42067079090944,32,26,30,1
11,11,11,11,270.83494209930944,26,47,14,0
7,7,20,29,306.07695840739217,16,34,46,0
8,9,0,19,261.2038939411129,45,83,57,0
1,1,6,11,54.66971937368067,50,84,20,1
1,1,16,20,71.59065571128039,83,71,14,1
13,13,0,22,228.42373800044652,41,89,58,0
9,9,12,3,119.65507692217284,14,4,48,1
13,13,21,4,188.29910792450968,16,42,14,0
2,3,13,23,323.2730539131826,2,79,64,1
16,17,20,11,121.11615268008468,97,29,4,1
14,15,6,27,214.5115515789265,22,30,27,0
7,7,5,23,97.70214846678788,53,9,55,1
18,19,7,16,98.80931595575788,0,87,55,1
15,15,1,1,317.6144967456832,67,84,13,0
2,3,16,21,59.073838646904775,86,16,36,1
3,3,12,22,163.4971364841316,14,2,15,0
11,11,20,14,185.09784529886463,74,15,23,0
2,3,15,28,330.26267161275854,84,81,11,0
6,7,17,26,270.9065052793213,25,7,58,0
7,7,13,28,239.98534075427372,85,28,1,0
8,9,21,6,172.59820097036047,90,92,53,0
19,19,20,17,333.26711003899743,46,2,63,0
2,3,14,0,339.27469863022316,33,51,47,0
18,19,0,10,202.65859945859455,44,88,59,0
4,5,15,19,198.16518685852972,51,63,54,0
8,9,3,14,107.8806074306084,92,30,49,1
5,5,2,9,114.63861078843551,85,65,3,1
1,1,8,26,72.33294503549207,53,22,19,1
0,0,10,25,90.9620503456105,32,83,26,1
16,17,6,4,264.13652717266615,92,34,10,0
17,17,6,19,291.8586535372761,50,91,40,0
1,1,7,28,305.56979096950664,68,64,59,0
19,19,20,15,269.99803950763504,70,29,43,0
10,11,9,14,189.2551398848329,9,43,6,0
14,15,20,10,319.6161348937525,49,79,6,0
15,15,22,7,265.0351060627398,69,66,44,0
10,11,12,13,212.200780323206,16,91,63,0
1,1,6,13,196.0023091874047,1,91,18,0
14,15,20,25,167.53021871895538,10,2,58,0
11,11,7,26,275.1063238392759,34,1,62,0
19,19,16,11,311.86234429680155,8,4,55,0
15,15,20,28,239.22747950993164,15,76,27,0
9,9,11,12,270.31876255162877,91,11,10,0
7,7,7,15,163.2033539389897,60,11,34,0
1,1,17,21,129.77025999711347,99,88,6,1
13,13,2,20,217.4571273893767,87,31,30,0
18,19,0,4,180.3498181520147,85,61,11,0
11,11,2,3,326.1537860834063,85,58,4,0
15,15,13,25,242.92199021040503,95,20,34,0
5,5,17,7,302.0733152635238,93,60,56,0
7,7,23,22,73.54809153862524,41,13,39,1
7,7,22,0,109.5166516843957,9,7,34,1
12,13,7,15,228.0217444495728,10,48,27,0
14,15,21,11,74.65128036589333,62,32,17,1
18,19,7,22,130.5848273892408,55,6,25,1
16,17,13,21,159.2435119058301,12,10,38,0
4,5,6,12,164.00666729932743,34,4,55,0
0,0,1,23,148.063876255683,37,80,25,1
9,9,11,10,168.40407251852108,61,69,61,0
11,11,3,8,85.24823988529293,97,65,53,1
3,3,17,21,169.51656743882756,97,94,11,0
19,19,5,2,68.67140994853133,92,16,32,1
9,9,15,23,147.5728668428787,71,46,2,1
1,1,22,22,253.45369467683645,0,0,5,0
13,13,4,15,292.1146573779906,18,26,21,0
15,15,7,27,148.17816214042276,76,9,29,1
5,5,17,23,338.1940701012475,93,38,28,0
11,11,19,10,180.3195657701553,70,4,27,0
5,5,7,9,232.4860643101204,21,50,50,0
3,3,5,21,347.1264160123269,33,42,14,0
19,19,20,6,284.717862474969,39,34,12,0
13,13,2,4,187.0169513815976,18,96,38,0
7,7,18,2,203.39365687137644,57,47,8,0
9,9,4,24,176.31380574903156,49,92,23,0
2,3,3,8,115.1395315807176,50,47,24,1
9,9,18,7,259.24977824049654,14,85,12,0
3,3,14,10,257.9245079907097,62,95,49,0
10,11,12,2,323.62124986426227,95,95,28,0
4,5,8,6,277.65818947914335,73,44,41,0
0,0,4,8,255.64054196761415,35,30,44,0
19,19,23,25,310.9607730892326,16,3,37,0
18,19,11,18,341.55849315073146,80,9,22,0
15,15,16,19,261.4609500248686,66,19,27,0
8,9,19,13,329.95177764757096,16,86,35,0
12,13,17,25,68.20578875819831,62,10,19,1
4,5,13,11,90.87429576388814,97,44,13,1
0,0,21,0,135.02679628859147,69,64,21,1
12,13,2,26,278.6398077002832,1,5,25,0
2,3,6,26,196.591250570319,79,81,20,0
2,3,23,26,255.16827972255209,11,19,52,0
12,13,0,1,278.05376412061753,0,7,32,0
15,15,21,3,191.58846191978455,94,41,11,0
10,11,21,26,292.7499764269781,55,41,39,0
3,3,21,0,184.1134155251493,93,56,29,0
19,19,16,29,289.3014363122011,17,9,47,0
7,7,16,25,253.24130850086567,45,52,43,0
6,7,21,14,290.400807408682,91,63,60,0
13,13,1,19,142.35539529582317,50,36,36,1
4,5,17,17,208.7936732842989,94,82,28,0
12,13,15,27,262.1012770420275,27,27,17,0
13,13,8,0,167.17420542297924,28,78,2,0
16,17,0,13,177.24751036514817,35,92,32,0
6,7,3,22,343.16868201016473,37,65,58,0
16,17,10,21,169.2690848210725,89,51,16,0
13,13,15,0,349.8379246271152,39,92,8,0
9,9,9,12,197.84906518890827,21,17,35,0
5,5,6,2,345.66964759685584,38,7,43,0
3,3,9,28,64.34620241597088,68,42,22,1
16,17,14,0,75.1515058398193,44,4,40,1
11,11,8,23,250.87067754153068,77,98,64,0
8,9,11,25,245.6616698654838,16,97,42,0
4,5,13,21,223.04273381447769,29,75,55,0
18,19,13,3,211.4456130466472,58,42,46,0
15,15,20,11,127.60241392564348,30,62,55,1
19,19,2,18,89.01612231092486,51,48,64,1
16,17,7,7,248.51841889680512,43,31,45,0
0,0,8,21,147.7922937661955,12,95,16,1
14,15,9,28,106.48912101563496,17,61,63,1
14,15,0,10,147.33072252042672,5,25,42,1
14,15,1,25,89.8217849417313,77,24,45,1
13,13,5,17,141.68782645928803,16,18,34,1
2,3,20,8,140.78326835764574,2,83,25,1
18,19,3,16,221.86871432609155,72,94,12,0
13,13,11,25,224.208032623734,46,20,30,0
3,3,6,6,150.86191976574656,91,5,13,0
15,15,22,29,153.35481640794234,87,7,15,0
10,11,6,14,215.60644813828037,26,35,3,0
10,11,8,15,66.95756165247008,3,3,63,1
14,15,16,20,50.16888377661872,10,31,55,1
1,1,6,22,304.79624580827436,19,10,21,0
18,19,21,18,228.6526119852834,18,61,24,0
15,15,6,12,51.76151345145767,86,49,16,1
2,3,16,1,126.54908138793792,78,13,46,1
10,11,23,16,144.6755517050344,81,60,10,1
15,15,19,22,171.01628444457586,53,0,1,0
2,3,23,17,131.58474331692022,50,34,29,1
8,9,15,3,345.47843682452805,38,89,17,0
16,17,16,22,314.42414350471677,15,91,22,0
12,13,22,10,188.18235397322175,46,95,22,0
10,11,5,4,156.02323604888855,30,71,16,0
11,11,6,9,67.55361917638112,67,26,63,1
18,19,17,4,230.4569176366409,61,36,50,0
14,15,2,22,259.10588964489375,40,7,8,0
7,7,7,11,236.81902527757936,53,67,6,0
14,15,13,21,124.2251752931617,70,72,56,1
19,19,16,25,183.4336031148065,13,50,54,0
6,7,7,4,87.70275511263758,25,55,11,1
4,5,17,6,247.52042163590795,70,9,64,0
10,11,6,22,323.67351542764897,49,32,46,0
10,11,18,18,96.8156284017832,67,58,8,1
10,11,16,19,252.94767428661555,92,65,11,0
2,3,18,24,344.0336958016934,77,28,40,0
4,5,5,22,184.36446053255963,33,49,62,0
13,13,3,24,102.02548806433644,78,66,26,1
14,15,12,12,141.50660434411884,29,66,48,1
11,11,18,1,325.3998489212991,25,18,32,0
2,3,2,15,115.8736957161374,62,71,9,1
12,13,4,3,169.84052852853102,89,38,26,0
16,17,20,29,177.73430986705037,56,35,31,0
17,17,6,27,277.427920619425,48,55,32,0
17,17,19,11,101.1805362062886,21,42,22,1
6,7,6,29,131.46197602476138,66,18,65,1
9,9,22,24,297.5657965741684,27,83,41,0
15,15,0,5,240.67870412163887,23,79,43,0
2,3,1,18,205.28248092501224,50,15,22,0
3,3,9,24,238.8967156800495,31,44,59,0
4,5,16,18,151.9914761405593,91,21,21,0
2,3,17,18,339.2845717493866,83,55,62,0
10,11,7,6,114.19899668981915,7,49,30,1
0,0,3,11,348.7680820582645,51,59,47,0
1,1,13,7,114.60076732327676,3,31,17,1
4,5,2,1,108.59391331262653,4,30,9,1
11,11,9,16,306.5681925264027,60,1,23,0
8,9,0,3,153.07411493884905,10,84,47,0
17,17,7,17,345.928856825865,3,29,18,0
16,17,16,12,103.79641050546584,36,17,44,1
7,7,16,13,167.97391110192245,50,27,64,0
3,3,21,6,234.87552606892064,50,71,20,0
3,3,18,9,261.4197625368795,66,99,51,0
16,17,4,23,342.3742522845571,34,12,51,0
14,15,22,6,292.7380682069972,1,16,50,0
16,17,0,12,108.19037207425566,19,2,37,1
7,7,9,26,60.285490240887654,48,55,31,1
9,9,8,4,81.44805497891318,47,86,41,1
19,19,5,2,285.5122088432502,13,23,44,0
4,5,0,16,288.4345211287016,11,49,41,0
6,7,18,26,292.20521512139356,95,87,28,0
18,19,14,18,180.24004449753016,4,28,17,0
2,3,2,14,221.470064645355,95,61,64,0
7,7,9,29,62.06330328393512,59,3,54,1
16,17,21,29,70.77860666781271,16,49,31,1
1,1,4,12,241.00866123797007,70,29,29,0
18,19,10,2,211.4116092588908,30,83,3,0
16,17,6,12,212.5679929933984,43,2,5,0
5,5,5,10,214.34065982186644,84,11,11,0
7,7,23,29,201.38324280648908,64,0,58,0
0,0,17,26,62.27492424819565,48,80,33,1
1,1,10,15,349.6222190222892,63,27,46,0
3,3,21,11,100.91797829722546,5,36,26,1
7,7,6,15,60.45989369790029,32,86,55,1
9,9,11,14,281.5125431251141,93,10,63,0
18,19,12,29,283.7825990273256,2,52,10,0
8,9,1,8,110.53822204775868,78,91,60,1
15,15,20,7,64.30517175617284,72,66,33,1
