pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,penalty_points,personal_position,collision
Hulkenberg,Sauber,Budapest,5,340.43087761222216,76,54,63,11,13,1
Ocon,Haas,Monza,29,108.68134169873392,12,62,65,3,4,1
Gasly,Alpine,Las Vegas,21,142.02293599320342,6,92,45,8,2,1
Russel,Mercedes,Jeddah,14,278.99117388725335,92,48,52,10,20,1
Gasly,Alpine,Silverstone,10,74.20644078491361,45,40,48,0,12,1
Sainz,Williams,Singapore,17,145.96611168871453,30,96,55,0,10,1
Verstappen,Red Bull,Melbourne,29,138.12332465066083,59,79,38,6,10,1
Albon,Williams,Barcelona,27,343.06332000423356,46,50,26,2,2,0
Albon,Williams,Barcelona,9,240.89595656225302,37,22,52,6,19,1
Ocon,Haas,Austin,20,246.267176473601,87,5,18,6,19,1
Albon,Williams,Montreal,29,235.77826964441147,98,67,3,8,3,1
Leclerc,Ferrari,Montreal,29,142.20730474169935,51,44,55,7,13,1
Piastri,McLaren,Austin,8,276.9451976197489,41,41,27,8,18,1
Hadjar,Racing Bulls,Sakhir,17,135.93646028251612,98,37,48,10,2,1
Stroll,Aston Martin,Sao Paulo,2,62.19175595714028,27,94,60,0,3,1
Verstappen,Red Bull,Shanghai,18,154.58966436906465,8,4,29,5,17,1
Bearman,Haas,Abu Dhabi,27,301.07052921806223,11,89,39,3,14,1
Leclerc,Ferrari,Shanghai,12,271.4271102310462,53,88,25,6,8,0
Norris,McLaren,Melbourne,28,125.03821013500564,39,89,25,7,10,1
Leclerc,Ferrari,Miami,13,329.08942060713116,85,17,52,8,8,0
Leclerc,Ferrari,Imola,1,230.62903124105455,54,72,36,9,17,1
Tsunoda,Red Bull Racing,Miami,5,229.0317057065276,32,94,21,0,2,0
Verstappen,Red Bull,Abu Dhabi,17,128.24219845691007,59,80,64,3,6,1
Gasly,Alpine,Melbourne,3,198.7874362529498,91,99,37,11,6,0
Stroll,Aston Martin,Lusail,2,325.4018073636123,87,92,7,10,2,0
Gasly,Alpine,Spielberg,18,69.31164137438275,2,76,28,7,16,1
Colapinto,Alpine,Budapest,0,86.15227769178543,3,54,23,10,20,1
Albon,Williams,Sakhir,15,130.60770852829216,56,84,42,8,4,1
Stroll,Aston Martin,Budapest,25,120.7820440836223,4,28,12,3,1,1
Piastri,McLaren,Barcelona,27,224.49645798926173,69,20,50,10,14,1
Alonso,Aston Martin,Barcelona,4,109.5232286513102,14,35,7,4,5,1
Sainz,Williams,Abu Dhabi,14,258.42857950108396,86,75,62,2,3,0
Verstappen,Red Bull,Austin,7,157.4506752727231,54,18,47,11,8,0
Albon,Williams,Las Vegas,2,151.14859979542686,90,92,54,7,7,0
Verstappen,Red Bull,Montreal,19,81.21515355104174,14,12,13,2,6,1
Antonelli,Mercedes,Zandvoort,18,73.84051936560246,16,75,44,9,1,1
Gasly,Alpine,Shanghai,3,288.41435316745066,65,2,53,3,8,0
Antonelli,Mercedes,Las Vegas,1,141.0673397505048,56,13,43,0,19,1
Verstappen,Red Bull,Lusail,10,101.7121475222869,72,98,40,5,2,1
Albon,Williams,Melbourne,22,247.49406282013965,9,83,6,10,14,1
Gasly,Alpine,Singapore,2,102.53960244411184,66,41,61,6,1,1
Albon,Williams,Abu Dhabi,23,235.6284042485348,29,76,1,9,9,0
Colapinto,Alpine,Montreal,2,167.75069203301615,93,41,23,11,5,0
Bortoleto,Sauber,Jeddah,21,144.8232933720965,79,80,49,3,3,1
Ocon,Haas,Monaco,11,209.8369882874556,78,32,17,7,3,0
Hamilton,Ferrari,Spa,16,65.93881312502334,46,51,36,1,17,1
Lawson,Racing Bulls,Mexico City,20,167.55761202738847,4,70,31,10,3,1
Norris,McLaren,Mexico City,2,141.77643730022993,98,51,44,9,13,1
Lawson,Racing Bulls,Suzuka,21,124.09702123003903,59,83,51,4,11,1
Colapinto,Alpine,Las Vegas,3,275.7100901314087,25,63,32,1,17,0
Stroll,Aston Martin,Monza,25,226.49604754609365,21,21,20,2,13,1
