pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,penalty_points,personal_position,rain_forecast,collision
18,19,19,17,93.98708314742125,24,33,3,6,8,1,1
18,19,4,10,124.81717513193168,47,49,53,7,3,0,1
15,15,2,8,262.77524232194685,0,82,8,2,17,1,1
5,5,4,21,104.61982491357642,26,67,8,9,13,1,1
10,11,8,21,55.72959662407867,54,90,22,6,20,1,1
19,19,5,10,177.75091411343533,45,67,11,9,14,1,1
4,5,6,6,297.33591152252916,1,74,14,11,17,0,1
18,19,10,21,137.59318395353478,94,71,31,4,12,1,1
1,1,11,16,295.693266912137,18,53,38,0,9,1,1
11,11,12,3,215.10685687110603,50,48,22,3,9,1,0
1,1,18,3,156.53785790037455,95,60,10,10,14,1,1
19,19,0,3,245.1547925382913,24,8,51,0,16,0,0
16,17,5,3,234.8465153013863,58,86,53,4,17,1,1
3,3,20,28,205.3932274069252,51,73,42,10,15,1,1
4,5,23,5,138.68478861622776,25,56,51,6,2,1,1
1,1,5,3,157.39794818686804,64,34,2,5,3,1,0
1,1,10,12,238.1419146746058,3,65,22,11,5,0,1
3,3,19,5,342.67732857074947,26,57,43,10,20,0,1
3,3,16,29,282.65554171227313,57,59,22,5,3,0,0
6,7,21,10,128.15989232233363,61,64,23,6,2,0,1
3,3,7,8,252.41374580508,59,12,29,9,10,1,1
0,0,2,23,331.7667504674309,22,47,22,5,11,0,1
13,13,23,22,233.39979108341015,93,70,56,3,7,1,1
3,3,14,11,290.0712373922692,2,25,6,8,2,0,0
6,7,12,19,86.6769932909032,35,0,15,8,7,0,1
4,5,16,19,287.07310475772107,83,12,9,4,13,1,1
2,3,0,10,51.3257086502107,24,13,18,3,15,0,1
9,9,21,26,252.1685733756982,58,61,55,5,1,1,1
0,0,18,27,96.32197505265444,38,39,39,2,3,1,1
3,3,14,16,165.30463366367687,65,1,61,0,2,1,1
10,11,12,27,226.2235665261498,46,45,10,10,12,1,1
3,3,11,28,310.1172919574749,14,72,41,9,15,0,1
19,19,12,14,165.496070322717,85,53,18,8,4,1,1
10,11,15,7,185.02059129225137,5,78,44,11,15,1,1
7,7,20,13,313.28910937580775,84,63,8,6,3,1,1
0,0,15,20,138.7750689358307,59,65,33,6,11,0,1
7,7,22,0,192.78580521717427,97,26,50,6,14,0,1
3,3,22,5,124.8964945487983,84,21,22,6,7,0,1
4,5,17,18,344.4049871539385,66,75,53,10,19,1,1
5,5,23,13,340.1188571408091,92,60,58,11,17,0,1
0,0,13,7,189.76576321242104,11,32,56,6,10,1,1
2,3,13,21,185.4680185447288,2,46,33,8,14,0,1
0,0,8,21,278.58884928154436,16,42,30,1,5,1,1
19,19,9,15,299.2092294414431,90,48,7,10,16,0,1
1,1,21,18,75.50324969296179,92,79,13,5,4,0,1
16,17,11,5,253.92242909153993,82,30,13,0,17,1,1
9,9,5,29,128.61321037455403,94,38,5,11,4,1,1
8,9,5,9,122.82512345957872,46,16,36,5,8,1,1
12,13,23,17,170.4125205919357,36,64,8,1,7,1,1
4,5,23,9,139.20588961186374,1,71,57,7,3,0,1
18,19,10,12,168.42566894564197,74,44,2,1,9,0,0
1,1,23,25,337.9159882880456,23,2,54,1,1,0,0
2,3,15,24,252.29934530488055,42,53,27,10,6,1,1
15,15,11,24,191.3999254181746,54,56,45,4,16,0,1
12,13,6,29,296.1939106363063,53,56,15,5,16,1,1
10,11,12,11,289.9725247709592,8,49,15,6,9,0,0
1,1,3,0,98.10635367943668,12,75,10,0,1,1,1
6,7,13,6,68.46419447143052,61,57,17,1,20,0,1
12,13,13,6,108.58268073068108,45,41,4,9,11,0,1
4,5,1,17,239.98525669377935,93,63,49,0,14,1,1
12,13,8,25,302.73835824573126,39,6,39,11,4,0,0
6,7,10,21,284.4031794506673,76,91,23,2,3,0,0
0,0,1,26,311.8665336429544,65,15,53,1,9,0,0
8,9,8,5,75.71357115110253,64,33,11,0,9,0,1
10,11,18,22,229.75141871628367,44,56,1,1,3,0,0
6,7,10,7,98.88950340908448,72,97,13,10,16,0,1
4,5,10,6,162.88515527555944,42,52,43,6,19,1,1
11,11,17,16,115.97505196597916,98,85,8,10,12,0,1
18,19,23,3,173.43793965884646,63,20,63,7,18,1,1
8,9,6,6,246.0795780551006,0,14,33,6,7,1,1
16,17,10,13,227.7571146455855,34,47,49,11,7,0,0
8,9,19,20,147.67148617287813,21,79,18,9,12,0,1
1,1,14,18,160.6942125121927,70,26,32,0,19,0,1
18,19,10,25,103.08864644791034,90,40,65,6,1,1,1
10,11,9,28,106.51450774624384,69,29,19,10,18,1,1
2,3,16,20,138.51630152620126,91,60,40,2,12,1,1
5,5,1,6,301.85913264875325,86,66,17,0,3,1,1
15,15,18,2,161.04146629468715,73,65,50,1,3,0,0
13,13,17,24,80.03747661308893,50,93,52,0,12,0,1
9,9,1,12,196.08028868862817,37,78,35,2,16,0,0
